1,2033,1807,pointytower.schematic
2,2090,1829,pointytower.schematic
3,1975,1785,pointytower.schematic
4,1918,1763,pointytower.schematic
5,1862,1742,pointytower.schematic
6,1807,1722,pointytower.schematic
7,1754,1701,pointytower.schematic
8,1699,1681,pointytower.schematic
9,1645,1659,pointytower.schematic
10,1665,1607,pointytower.schematic
11,1719,1627,pointytower.schematic
12,1773,1648,pointytower.schematic
13,1827,1669,pointytower.schematic
14,1881,1689,pointytower.schematic
15,1938,1710,pointytower.schematic
16,1994,1733,pointytower.schematic
17,2052,1755,pointytower.schematic
18,2110,1776,pointytower.schematic
19,2137,1702,pointytower.schematic
20,2080,1680,pointytower.schematic
21,2023,1658,pointytower.schematic
22,1965,1636,pointytower.schematic
23,1909,1615,pointytower.schematic
24,1855,1594,pointytower.schematic
25,1801,1574,pointytower.schematic
26,1747,1553,pointytower.schematic
27,1693,1533,pointytower.schematic
28,1638,1512,pointytower.schematic
29,1657,1460,pointytower.schematic
30,1712,1480,pointytower.schematic
31,1767,1501,pointytower.schematic
32,1821,1521,pointytower.schematic
33,1875,1542,pointytower.schematic
34,1929,1563,pointytower.schematic
35,1985,1584,pointytower.schematic
36,2042,1606,pointytower.schematic
37,2100,1628,pointytower.schematic
38,2157,1650,pointytower.schematic
39,2209,1690,pointytower.schematic
40,2968,2694,pointytower.schematic
41,2985,2625,pointytower.schematic
42,2903,2594,pointytower.schematic
43,2827,2563,pointytower.schematic
44,2755,2513,pointytower.schematic
45,2744,2577,pointytower.schematic
46,2812,2635,pointytower.schematic
47,2884,2677,pointytower.schematic
