5446,3384,Afmeerboei
5556,3475,Afmeerboei
5432,3395,Afmeerboei
5545,3488,Afmeerboei
5681,3567,Afmeerboei
5629,3524,Afmeerboei
5716,3586,Afmeerboei
5705,3600,Afmeerboei
5800,3651,Afmeerboei
5787,3667,Afmeerboei
3865,2792,Bolder
5825,4190,Bolder
5371,3520,Bolder
5354,3520,Bolder
4763,3652,Bolder
4740,3624,Bolder
3865,2832,Bolder
7478,5818,Bolder
7484,5814,Bolder
7497,5812,Bolder
7471,5820,Bolder
7511,5807,Bolder
7490,5812,Bolder
7503,5808,Bolder
7510,5806,Bolder
7504,5810,Bolder
7477,5817,Bolder
7491,5814,Bolder
7497,5810,Bolder
7484,5816,Bolder
7471,5819,Bolder
1849,2208,Bolder
1848,2202,Bolder
2355,2973,Bolder
1817,2213,Bolder
2346,2986,Bolder
1833,2211,Bolder
2337,2999,Bolder
1832,2204,Bolder
1816,2206,Bolder
5087,3057,Bolder
1772,2131,Bolder
1815,2139,Bolder
1791,2138,Bolder
1831,2133,Bolder
1777,2138,Bolder
5099,3067,Bolder
1759,2133,Bolder
1803,2139,Bolder
1860,2136,Bolder
5075,3034,Bolder
3865,2824,Bolder
4549,3530,Bolder
3877,3006,Bolder
6177,4319,Bolder
4744,3639,Bolder
4632,3576,Bolder
4739,3629,Bolder
5389,3520,Bolder
4741,3648,Bolder
5824,4208,Bolder
5350,3520,Bolder
6232,4277,Bolder
4659,3592,Bolder
3858,3030,Bolder
3867,2913,Bolder
5832,4214,Bolder
4765,3643,Bolder
5832,4234,Bolder
3866,3019,Bolder
4484,2553,Bolder
3842,3050,Bolder
4646,3584,Bolder
5335,3520,Bolder
4748,3626,Bolder
5831,4207,Bolder
6201,4287,Bolder
5825,4224,Bolder
5826,4268,Bolder
3865,2803,Bolder
6215,4276,Bolder
3867,2934,Bolder
5343,3464,Bolder
4770,3629,Bolder
4770,3654,Bolder
5825,4251,Bolder
4392,2478,Bolder
3855,2885,Bolder
6189,4297,Bolder
3874,3009,Bolder
4772,3649,Bolder
4737,3637,Bolder
4735,3642,Bolder
4561,3536,Bolder
5384,3520,Bolder
4738,3634,Bolder
4734,3646,Bolder
4775,3636,Bolder
3839,3054,Bolder
3867,2902,Bolder
5825,4234,Bolder
4749,3622,Bolder
5364,3520,Bolder
5832,4244,Bolder
3867,2945,Bolder
4762,3655,Bolder
6195,4292,Bolder
4734,3650,Bolder
4768,3634,Bolder
5825,4228,Bolder
4745,3636,Bolder
4767,3661,Bolder
3866,2894,Bolder
5832,4220,Bolder
4774,3641,Bolder
4764,3647,Bolder
5832,4228,Bolder
4769,3658,Bolder
5831,4199,Bolder
5825,4238,Bolder
4777,3632,Bolder
2325,2393,Bolder
2299,2333,Bolder
3613,2198,Bolder
7485,5739,Bolder
